"Table C19: Community Safety Partnerships: Crime rate per 1,000 population for categories of anti-social behaviour, year ending March 2025 [note 1][note 4][note 5][note 6]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,age_band,flag_depression,flag_anxiety,flag_comorbid
E23000019,Nottinghamshire,E22000256,Newark and Sherwood,E07000175,Newark and Sherwood,125100,17.04386476828498,0.7834421891613171,13.606312305638385,2.6541102734852786,unknown,0,0,0
E23000019,Nottinghamshire,E22000257,Nottingham,E06000018,Nottingham,328500,31.24077281568766,1.1201992006404617,27.527068943999172,2.593504671048026,unknown,0,0,0
E23000019,Nottinghamshire,E22000366,South Nottinghamshire,Combined Local Authorities,,351400,13.44525859002632,0.4581347371416376,11.655403002063029,1.3317208508216547,unknown,0,0,0
E23000019,Nottinghamshire,,Unassigned Nottinghamshire,,,[x],[x],[x],[x],[x],unknown,0,0,0
W15000003,South Wales,,,,,1333100,11.04378054068165,0.9692001398288747,7.785107624724506,2.2894727761282705,unknown,0,0,0
W15000003,South Wales,W14000013,Bridgend,W06000013,Bridgend,146100,9.039524826189304,0.7664093720917501,5.973887337822303,2.2992281162752506,unknown,0,0,0
W15000003,South Wales,W14000015,Cardiff,W06000015,Cardiff,372100,12.994202999819935,1.1502624372126022,9.774543187248211,2.069397375359121,unknown,0,0,0
W15000003,South Wales,W14000023,Cwm Taf,Combined Local Authorities,,297900,10.879453241177439,0.9365527473892333,7.438712860984019,2.5041876328041868,unknown,0,0,0
W15000003,South Wales,W14000012,Neath Port Talbot,W06000012,Neath Port Talbot,142200,10.776741372275918,0.9777852811660266,6.950013365410318,2.848942725699574,unknown,0,0,0
W15000003,South Wales,W14000011,Swansea,W06000011,Swansea,241300,9.818386783929178,0.8620618197793454,6.834326638539136,2.1219983256106962,unknown,0,0,0
W15000003,South Wales,,Unassigned South Wales,,,[x],[x],[x],[x],[x],unknown,0,0,0
W15000003,South Wales,W14000014,Vale of Glamorgan,W06000014,Vale of Glamorgan ,133500,8.779552332724057,0.8090372456776436,6.187636712312349,1.7828783747340664,unknown,0,0,0
E23000011,South Yorkshire,,,,,1392100,18.453349424073615,6.397505935256321,9.822534938097341,2.233308550719953,unknown,0,0,0
E23000011,South Yorkshire,E22000259,Barnsley,E08000016,Barnsley,246500,16.99515583288029,6.061294536720734,8.974286154769922,1.9595751413896352,unknown,0,0,0
E23000011,South Yorkshire,E22000260,Doncaster,E08000017,Doncaster,311000,19.11088104891215,6.449600838512412,10.201686670289074,2.459593540110666,unknown,0,0,0
E23000011,South Yorkshire,E22000261,Rotherham,E08000018,Rotherham,268400,18.114132824552645,6.767180664346348,9.401760361313787,1.9451917988925076,unknown,0,0,0
E23000011,South Yorkshire,E22000262,Sheffield,E08000019,Sheffield,566200,18.326086726170086,6.168740573818262,9.88270032954108,2.274645822810742,unknown,0,0,0
E23000011,South Yorkshire,,Unassigned South Yorkshire,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000015,Staffordshire,,,,,1146200,10.95486233793879,0.14918224574241723,7.849952322750118,2.9557277694462547,unknown,0,0,0
E23000015,Staffordshire,E22000263,Cannock Chase,E07000192,Cannock Chase,101100,9.966383231164722,0.12853470437017994,6.940874035989717,2.896974490804825,unknown,0,0,0
E23000015,Staffordshire,E22000264,East Staffordshire,E07000193,East Staffordshire,125800,7.729007633587786,0.15903307888040713,5.041348600508906,2.5286259541984735,unknown,0,0,0
E23000015,Staffordshire,E22000265,Lichfield,E07000194,Lichfield,108400,6.718842291789723,0.0646042528056704,4.623818665091553,2.0304193738924985,unknown,0,0,0
E23000015,Staffordshire,E22000266,Newcastle-under-Lyme,E07000195,Newcastle-under-Lyme,125300,10.973925951938195,0.12769659289528082,8.068828463570558,2.7774008954723577,unknown,0,0,0
E23000015,Staffordshire,E22000267,South Staffordshire,E07000196,South Staffordshire,111500,5.361930294906166,0.10759726344293309,3.452078868794104,1.8022541626691293,unknown,0,0,0
E23000015,Staffordshire,E22000268,Stafford,E07000197,Stafford,138700,9.01420638926949,0.12980457200548062,6.302733107377226,2.5816687098867814,unknown,0,0,0
E23000015,Staffordshire,E22000269,Staffordshire Moorlands,E07000198,Staffordshire Moorlands,95900,7.852010969874555,0.16684219856307156,5.370233266248866,2.3149355050626177,unknown,0,0,0
E23000015,Staffordshire,E22000270,Stoke-on-Trent,E06000021,Stoke-on-Trent,260000,20.256573000211567,0.19618025503433156,15.240513146000422,4.819879599176812,unknown,0,0,0
E23000015,Staffordshire,E22000271,Tamworth,E07000199,Tamworth,79600,7.571667148005374,0.22601991486583206,5.160788056103166,2.184859177036377,unknown,0,0,0
E23000015,Staffordshire,,Unassigned Staffordshire,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000025,Suffolk,,,,,768600,4.889695597582476,0.3773314857101964,3.299698785382959,1.212665326489321,unknown,0,0,0
E23000025,Suffolk,E22000273,Ipswich,E07000202,Ipswich,139200,8.689594748899438,0.7037853598282189,6.168894123392246,1.8169152656789733,unknown,0,0,0
E23000025,Suffolk,E22000274,Suffolk Coastal,E07000244,Suffolk Coastal,130400,3.434344983019924,0.2606422531756192,2.3151164840893235,0.858586245754981,unknown,0,0,0
E23000025,Suffolk,,Unassigned Suffolk,,Unassigned Suffolk,[x],[x],[x],[x],[x],unknown,0,0,0
E23000025,Suffolk,E22000278,Waveney,E07000244,Waveney,116600,7.013452453422274,0.42869513773974777,4.84425505645915,1.7405022592233759,unknown,0,0,0
E23000025,Suffolk,E22000373,Western Suffolk,E07000245,Western Suffolk,382200,3.338321630021872,0.27732138932783573,2.1139215337442576,0.9470787069497786,unknown,0,0,0
E23000031,Surrey,,,,,1214500,11.4364286067153,1.8476130880827308,7.454674197638612,2.134141320993957,unknown,0,0,0
E23000031,Surrey,E22000279,Elmbridge,E07000207,Elmbridge,140000,8.777066788550535,1.5568759641204366,5.434782608695652,1.7854082157344455,unknown,0,0,0
E23000031,Surrey,E22000280,Epsom and Ewell,E07000208,Epsom and Ewell,81200,16.34558533701222,1.5889830508474578,12.465510445407961,2.2910918407567995,unknown,0,0,0
E23000031,Surrey,E22000281,Guildford,E07000209,Guildford,145700,12.21914836654699,2.0662717181632835,7.777693876009967,2.3751827723737415,unknown,0,0,0
E23000031,Surrey,E22000282,Mole Valley,E07000210,Mole Valley,87800,10.356731875719216,1.6178833073180736,6.41456550718363,2.324283061217514,unknown,0,0,0
E23000031,Surrey,E22000283,Reigate and Banstead,E07000211,Reigate and Banstead,153600,10.857325114398973,1.7574806839854453,7.108032988563357,1.9918114418501716,unknown,0,0,0
E23000031,Surrey,E22000284,Runnymede,E07000212,Runnymede,88500,13.6121277845556,2.541683611224075,8.675613392978175,2.3948307803533506,unknown,0,0,0
E23000031,Surrey,E22000285,Spelthorne,E07000213,Spelthorne,103600,15.741035818099293,2.2404419078521696,10.690384448242895,2.81020946200423,unknown,0,0,0
