"Table A11c: Prevalence of sexual assault and stalking in the last year among all people aged 16 to 59 years, by type [note 1, 2, 10]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,age_band,flag_depression,flag_anxiety,flag_comorbid
- Assault by penetration excluding attempts,0.22972657029284363,0.30138542362495363,0.2151545371477386,0.2595209170383556,0.1682876607717565,0.16170456600180005,0.17620478232098752,0.2466395339145735,0.2025914869141562,0.15506690501226403,0.11118864624732794,0.14601659633557346,0.1802626413501113,0.2120439466645246,0.21109625834540177,0.21047308952248983,0.20139141056053533,0.191500795759151,0.267372056901535,0.119201108918212,[ns],unknown,0,0,0
Causing sexual activity without consent [note 16][note 17],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.036249233289737864,0.04798600081312375,0.015393459494918445,0.024362470787304566,[x],[x],[x],[x],[x],[x],unknown,0,0,0
Indecent exposure or unwanted sexual touching,2.3037422586292795,2.518203361812256,2.615723951008618,2.220040955473805,1.8878698909690261,1.8663253703843976,1.9124697866567124,2.1201791277459545,1.568753275268881,1.2473063626980463,1.5052141786840456,1.7153733857298579,1.738902155951773,2.50643217921014,2.4742472714024086,1.940524433946042,2.336485869927306,2.50512338063819,2.41257836869987,2.28484723258644,[ns],unknown,0,0,0
- Indecent exposure,[x],[x],[x],[x],[x],[x],[x],[x],0.6582632642386279,0.42776435408944247,0.5465702446908253,0.5276242708957758,0.3819473580669395,0.7918397252803114,0.5511948317654212,0.4010413450929942,0.42944546448536425,0.666008416224452,0.845719290622919,0.685283606898519,[ns],unknown,0,0,0
- Unwanted sexual touching,[x],[x],[x],[x],[x],[x],[x],[x],0.9770352212422525,0.8881194994118523,1.0972424748125158,1.332895292089655,1.4349862623827485,2.0667609474211686,2.1270046076689075,1.6856282660812174,2.14190314874018,2.06438900021222,1.94595681899936,1.84315707302229,[ns],unknown,0,0,0
Any sexual assault (including attempts) by a partner [note 5],0.34753826218098327,0.34218229940295986,0.35159166478371745,0.3431446574578492,0.255868324864855,0.27618658658581247,0.3543231241376186,0.31177645233623535,0.27798275024464264,0.22401173621063428,0.26514381430478745,0.3098252967961209,0.24862700853718953,0.21916554507688096,0.3739650392042909,0.37846315207645986,0.5106411620618964,0.344351299196631,0.296162366835305,0.253361148288085,[ns],unknown,0,0,0
Sexual assault by rape or penetration (including attempts) by a partner,0.18782026051807924,0.1579877342461733,0.19086515122639425,0.17369260308289225,0.151614537192572,0.11941261198575363,0.23948649914943457,0.21883129928507658,0.18488126195264293,0.12377499675817391,0.13924486071283004,0.17342441496410008,0.16230576139937938,0.11771853587648741,0.15558611903672004,0.23038509296144524,0.1723352148587232,0.187452355441881,0.122870896175122,0.06271057897326,[ns],unknown,0,0,0
Indecent exposure or unwanted sexual touching by a partner,0.34387585295948786,0.3309974679126455,0.3465802381637204,0.3201902728552583,0.22047989464183138,0.3190584814468588,0.3047823828494001,0.2128713881147914,0.1818524782663706,0.1486918763743441,0.1907556345200028,0.22500037002313628,0.1552139436659,0.16173150675126083,0.2744517144963624,0.24842907015511534,0.4414543135151849,0.257998112317465,0.233812187412674,0.246857294866061,[ns],unknown,0,0,0
- Indecent exposure by a partner [note 18],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.04204017047847807,0.03838406005882637,0.02145471285217367,[c],[c],0.0969169689362567,0.0412929479929194,[ns],unknown,0,0,0
- Unwanted sexual touching by a partner [note 18],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.1483311362539685,0.2617098291459547,0.23095115270100414,0.443867758407357,0.257339928886413,0.157594929239825,0.227894628102938,[ns],unknown,0,0,0
Any sexual assault (including attempts) by a family member [note 5],0.042619372589628876,0.04196246716544422,0.03658579134549741,0.04322985427111567,0.0236827052300061,0.03023428421354429,0.07029926892186202,0.025784254174888024,0.04667337152295457,0.05633986472473189,0.03313703189468377,0.02096121501818548,0.0398543836233427,0.09196604867902307,0.04781771078566927,0.047866919571648694,[c],0.0359341650424036,0.0947816331626516,0.0127208476683908,[ns],unknown,0,0,0
Sexual assault by rape or penetration (including attempts) by a family member,0.013724243023113925,0.011773310994136536,0.0158284973726502,0.006896336413236175,0.004077926650123373,0.012835262539271263,0.052101827028028215,0.01575186188831099,0.026327866757130544,0.02049262532136712,0.013468735149332159,0.009449060167526648,0.01911848855999311,0.049829315059723996,0.03129520851471058,0.010819435061738724,[c],[c],0.026685934778212,[c],[z],unknown,0,0,0
Indecent exposure or unwanted sexual touching by a family member,0.029541812581681367,0.03530857265186668,0.033452590640783084,0.0427908794058877,0.02347906746285762,0.01712595983037272,0.043186016461553185,0.009720481540505997,0.020165158344661798,0.03701111385649462,0.01958045323603451,0.01143124393827661,0.02490353697957634,0.048902252963714046,0.038984124974691385,0.04210358503078606,[c],0.0271595359759955,[c],0.0126133283014058,[z],unknown,0,0,0
- Indecent exposure by a family member [note 18],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.03186545124586406,0.004852474601534645,0.01983837649363477,[c],[c],[c],[c],[c],unknown,0,0,0
- Unwanted sexual touching by a family member [note 18],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.02425362050193516,0.03917791234558568,0.026975721634645632,[c],0.0201232796991822,[c],0.012705357769886,[z],unknown,0,0,0
Stalking [note 6][note 15],7.8422218598081015,6.811948922781502,6.079305344776549,[x],4.094684885032356,4.187483364220474,4.1879766471303235,4.304872595495941,3.6346748763479875,3.464882658093124,3.672471474309565,3.6805861940886655,3.6370891725861543,4.017802595322478,3.9942989260941113,4.0282311759167255,4.717667810245608,4.264343549616,3.83959939307536,3.50831248197949,[ns],unknown,0,0,0
Unweighted base - number of people aged 16 and over [note 19],23571,25308,24536,23816,26675,22346,11287,11255,9676,21008,19199,20061,20895,10221,9926,18444,3095,10502,7266,7940,[z],unknown,0,0,0
