"Table A11a: Prevalence of sexual assault and stalking in the last year among men aged 16 to 59 years, by type [note 1, 2, 10]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,age_band,flag_depression,flag_anxiety,flag_comorbid
Causing sexual activity without consent [note 16][note 17],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.06621183089637082,0.03769651449798394,0.012617705497125611,0.049306318067342966,[x],[x],[x],[x],[x],[x],unknown,0,0,0
Indecent exposure or unwanted sexual touching,1.1642507993313407,1.0515830206046854,1.2179705540777275,0.7407243398470063,0.6913240502662868,1.02214864516915,0.8525419993938651,0.8019246449108717,0.7889063825956348,0.6741722037520375,0.6232282040002418,0.5897704524117864,0.8018492776244551,1.1853964199235367,1.1064151964944418,0.822212196229098,1.3957351392714754,1.14757958692102,0.949696969890168,0.895931943199116,[ns],unknown,0,0,0
- Indecent exposure,[x],[x],[x],[x],[x],[x],[x],[x],0.241383161807054,0.27888828677638944,0.25827862986964545,0.11771220813006718,0.19839079241437302,0.3697181409722144,0.15495744403564685,0.18747396894907636,[c],0.274782368750123,0.430813100337325,0.352946673021045,[ns],unknown,0,0,0
- Unwanted sexual touching,[x],[x],[x],[x],[x],[x],[x],[x],0.5639690456623095,0.42848296303385563,0.4281807270163941,0.4747629148568012,0.6215425216977147,0.9517798898810474,0.9572112467760963,0.6791733362953956,1.40501121302717,0.978715231264646,0.628675659967061,0.550161053930697,[ns],unknown,0,0,0
Any sexual assault (including attempts) by a partner [note 5],0.2474952131163186,0,0.15386813654106674,0.18938432870542823,0.16920566943693638,0.1764962207975835,0.13924353397586794,0.0706078286436345,0.1221795604460265,0.08839592554563092,0.05516159999537294,0.11879519924403563,0.07547836280193476,0.07818157098891197,0.022799134377287946,0.08939492487472561,[c],0.134400278880051,0.0426011823330922,0.0986877745648347,[ns],unknown,0,0,0
Sexual assault by rape or penetration (including attempts) by a partner,0.06844725334659031,0,0.026916887877874,0.0524311362372601,0.04371894841548782,0.004226507353992877,0.026399259290766405,0.0429125213149359,0.04933871797422909,0.00505107630473959,0.010183246577815556,0.04859154512332738,0.02970155592356127,0.012587457854409189,0,0.012340221791323016,[c],[c],[c],[c],[c],unknown,0,0,0
Indecent exposure or unwanted sexual touching by a partner,0.221249273355011,0,0.13402805754057034,0.13726788356119726,0.17725377075303064,0.19592974689949025,0.1545054539121381,0,0.12199499891198817,0.08318787501018299,0.04490682969436578,0.06992098175093077,0.05422610554386193,0.06532348488354389,0.022725792669900748,0.07688585959602795,[c],0.0781576902352669,0.042298895719864,0.0983501088090245,[ns],unknown,0,0,0
- Indecent exposure by a partner [note 18],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.025437919593273517,0.012543416257601494,0.009225448286662817,[c],[c],[c],[c],[c],unknown,0,0,0
- Unwanted sexual touching by a partner [note 18],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.040265697923931164,0.010203512031670858,0.0676816494931115,[c],0.0789070325995255,0.0428822290859981,[c],[c],unknown,0,0,0
Any sexual assault (including attempts) by a family member [note 5],0.0065695105797600115,0.027024170187631993,0.005432330456371047,0.007160449205371068,0.008223067494223085,0,0.04644212643550273,0,0.012645234883040129,0.039828531486070726,0.010197997450581347,0.005463577408674629,0.03612048237459033,0.050043111529839736,0,0.027643215928165533,[c],[c],[c],[c],[c],unknown,0,0,0
Sexual assault by rape or penetration (including attempts) by a family member,0,0,0,0.007077184878044589,0.008167881953063354,0,0.04590954670290556,0,0,0.00501953607903222,0.010183952938817336,0.005452236891387407,0.018769994601151363,0.012701731888619292,0,0.00634451212297154,[c],[c],[c],[c],[c],unknown,0,0,0
Indecent exposure or unwanted sexual touching by a family member,0.006536233924493849,0.026905575200905408,0.005415289702161327,0.007120770669882877,0.008190829956792522,0,0,0,0.012618755505513847,0.034752961835763305,0,0,0.02589992410828546,0.037160275346807645,0,0.021232504289459955,[c],[c],[c],[c],[c],unknown,0,0,0
- Indecent exposure by a family member [note 18],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.02594153063226884,0,0.009225448286662817,[c],[c],[c],[c],[c],unknown,0,0,0
- Unwanted sexual touching by a family member [note 18],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.011113987650395271,0,0.02118177030998215,[c],[c],[c],[c],[c],unknown,0,0,0
Stalking [note 6][note 15],9.242518100644322,6.745091028213884,5.8065075102270445,[x],3.710577914608579,3.8601775622416543,4.138705429744524,4.114419511022951,2.555921931280985,2.4958848016560915,2.427618702975388,2.7480717205936838,2.3614066432350067,2.6035008751084607,2.6970363140898086,2.674356150198469,3.179986413466425,2.83041686463729,2.69603240961899,1.99425038744608,[ns],unknown,0,0,0
Unweighted base - number of men aged 16 and over [note 19],10720,11571,11412,11120,12313,10270,5157,5265,4382,9643,8672,9095,9664,4733,4409,8377,1415,4894,3390,3635,[z],unknown,0,0,0
