"table s40b: prevalence of domestic abuse, sexual assault and stalking1 among adults aged 16 to 592, by type, year ending march 2019 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 to 59,unknown
,Since the age of 16,,,,In the last year,,,,unknown
,Men,Women,All,,Men,Women,All,,unknown
,Percentage who were victims once or more,,,,,,,,unknown
- Indecent exposure by a partner,0.08219679754015155,1.1232706437104503,0.6095208111369795,,0.012543416257601494,0.06355096698156319,0.03838406005882637,,unknown
- Unwanted sexual touching by a partner,0.4066200833562546,6.433799663991854,3.455568366191767,,0.010203512031670858,0.5074763183658726,0.2617098291459547,,unknown
Any sexual assault (including attempts) by a family member,0.1977866427408681,1.9877054685899032,1.1066721438819807,,0,0.0941867291999993,0.04781771078566927,,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0.07628730797201311,0.9988492990963833,0.544791385615311,,0,0.06162007264973488,0.03129520851471058,,unknown
Indecent exposure or unwanted sexual touching by a family member,0.14388503904472394,1.6200722137997083,0.8949089474191987,,0,0.07661645049967884,0.038984124974691385,,unknown
- Indecent exposure by a family member,0.084408565455145,0.5944838685196607,0.34278721496685016,,0,0.009578518065870466,0.004852474601534645,,unknown
- Unwanted sexual touching by a family member,0.10789638350692878,1.4485289884465566,0.7860812726517694,,0,0.07745861914161553,0.03917791234558568,,unknown
Stalking,10.26128580148393,22.870424023576227,16.6817493533421,,2.6970363140898086,5.2449637759016055,3.9942989260941113,,unknown
Stalking by a partner,3.35914923929533,11.225821135657224,7.3587615911277835,,0.583868539077027,1.5868831784630997,1.0937958718526404,,unknown
Stalking by a family member,1.2190678075418944,3.354803355966707,2.3079205442304245,,0.14115990066357192,0.48634569546403206,0.3171160101982078,,unknown
"Unweighted base - number of adults5,6",4339,5471,9810,,4325,5420,9745,,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,unknown
"1. Chapter 5 of the User Guide provides definitions of domestic abuse, sexual assault and stalking.",,,,,,,,,unknown
"2. From April 2017, the upper age limit for the self-completion module was increased to ask all respondents aged 16 to 74. Figures for 16 to 59 year olds only are presented in this table.",,,,,,,,,unknown
3. New offence category 'Causing sexual activity without consent' was added to the total category of any sexual assault (including attempts) for the year ending March 2016 to the year ending March 2019. This category is not directly comparable with 22A 'Causing sexual activity without consent' offence category in Home Office Counting Rules (HOCR) as offence 22A has a wider definition than is covered in the CSEW.,,,,,,,,,unknown
4. The category 'Causing sexual activity without consent' cannot be disaggregated by perpetrator as this was not asked of the respondent.,,,,,,,,,unknown
5. The bases given are for any domestic abuse; the bases for the other measures presented will be similar.,,,,,,,,,unknown
6. The sample size is lower for year ending March 2019 due to use of a split-sample experiment. ,,,,,,,,,unknown
