"table s27:  perceptions of police contact and complaints process, year ending march 2011 to year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
Very dissatisfied,56.701008261288,59.53327073323662,62.21000593511607,59.23615005404754,60.772020281054736,70.0944142273455,57.97632538213203,59.505185898092094,61.18388368762739,,unknown
Unweighted base - number of adults,254,243,95,187,148,149,136,147,141,,unknown
"Reason respondent did not make complaint2,6",,,,,,,,,,,unknown
Was not the appropriate person to make the complaint/none of my business,13.19187507881526,13.697117155223232,12.984177479309606,12.164605278419383,15.494927864052205,14.767683071676377,10.513165239672158,10.799481562406905,10.596054025987153,,unknown
Did not know who to complain to/how to complain,7.965832145797652,9.612445698872236,9.664491466841495,8.793530829896431,8.72023993059937,9.57827397862733,8.99725477611897,9.86537211215992,10.121677300946876,,unknown
Unsure of consequences of making a complaint/worried about police response,11.102692141681905,10.488953093427135,9.952258256349639,6.106211257087443,5.973436593131915,5.68847607909957,4.53770243227,4.46682859707612,5.900419612643452,,unknown
Too long after the incident/left it too late,2.328454041496668,2.427341872129753,1.8251968335574287,2.5503261730622393,2.354883539638736,2.031721776351254,1.711916117932399,2.6802883942515834,2.1609549829896975,,unknown
Could see no benefit to making a complaint/no point,65.41114659220851,63.774142180347646,65.57387596394184,70.3853264615345,67.45651207257778,67.93384509424548,:,:,:,,unknown
Incident was too minor,:,:,:,:,:,:,13.566511014736804,12.548864513209706,11.446337208817376,,unknown
The police wouldn't do anything,:,:,:,:,:,:,35.49642499289051,33.46966843609616,35.20515373972776,,unknown
Matter was resolved so I did not need to make a complaint,:,:,:,:,:,:,4.661131305053184,6.500455410238463,5.271893115605888,,unknown
Other,:,:,:,:,:,:,20.515894121325967,19.66904097456115,19.297510013281805,,unknown
Unweighted base - number of adults,1521,1541,668,1293,1059,978,1194,1047,1136,,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,unknown
"1. A small change to the weighting procedure has been incorporated into all historic datasets. The effect of this change will only have a negligible impact on the estimates in this table and therefore historic data have not been re-calculated using the new weights, except where direct comparisons have been made between years",,,,,,,,,,,unknown
"2. Data from the year ending March 2017 CSEW onwards are not directly comparable with those previous. From the year ending March 2011 to year ending March 2016, respondents were asked the question: 'Have you ever been really annoyed about the way a police officer behaved towards you or someone you know OR about the way the police handled a matter in which you were involved?' From the year ending March 2017 onwards, respondents were asked the question: 'Have you ever been dissatisfied with the service provided by the police? This might be because of the way the police handled a matter in which you or someone else was involved, OR because of the behaviour of a police officer or another member of police staff?'",,,,,,,,,,,unknown
3. Asked of respondents who replied 'yes' to having ever been annoyed or dissatisfied with the police.,,,,,,,,,,,unknown
4. Asked of respondents who replied 'yes' to having been annoyed or dissatisfied with the police in the last five years.,,,,,,,,,,,unknown
"5. Asked of respondents who said that they did, or tried but failed to, make an official complaint against the police in the last five years.",,,,,,,,,,,unknown
"6. Asked of respondents who said that they did not, or tried but failed to, make an official complaint against the police in the last five years.",,,,,,,,,,,unknown
: denotes not available,,,,,,,,,,,unknown
