"table s40a: prevalence of domestic abuse, sexual assault and stalking1 among adults aged 16 to 742, by type, year ending march 2019 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 to 74,unknown
,Since the age of 16,,,,In the last year,,,,unknown
,Men,Women,All,,Men,Women,All,,unknown
,Percentage who were victims once or more,,,,,,,,unknown
- Rape excluding attempts,0.21026116402060255,5.55515459933896,2.9179112833854584,,0.02210104712080006,0.20461540956118368,0.11455838898406041,,unknown
- Assault by penetration including attempts,0.4426462230076815,5.273303232538145,2.8913940807292433,,0.1780199217636789,0.5670029173354617,0.37518853054237883,,unknown
- Assault by penetration excluding attempts,0.2672873016348801,3.8690072428767563,2.0926075942288613,,0.1078314375248747,0.24583573700795058,0.17775699903095896,,unknown
"Causing sexual activity without consent3,4",0.1502249685230755,0.358708606453765,0.25581970935650394,,0.03922878976765168,0.009190363714970682,0.024014647086912654,,unknown
Indecent exposure or unwanted sexual touching,4.245049559056453,23.31022199588658,13.940019530815864,,0.9032232358131785,3.149542309709856,2.045404403800798,,unknown
- Indecent exposure,1.3179146978144298,11.686055740883221,6.575796579918441,,0.1387853194862745,0.7900009107267629,0.4689786367442126,,unknown
- Unwanted sexual touching,3.3540190545774253,17.95654683863646,10.750345641333883,,0.7845658248847729,2.6833949315258363,1.7458540961975217,,unknown
Any sexual assault (including attempts) by a partner,0.4900028774198197,6.970357336151774,3.780352461335994,,0.018127491884311443,0.5930736137767034,0.3097137891500599,,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.10257623755953428,4.3273785322203935,2.244131237671469,,0,0.26847639365392406,0.1361171300124752,,unknown
Indecent exposure or unwanted sexual touching by a partner,0.40516663107160544,5.898774193547433,3.195638683783217,,0.01805960694830049,0.4117322296420006,0.21802871698757195,,unknown
- Indecent exposure by a partner,0.07023137394105411,1.0569717371206737,0.5704468120920471,,0.009975279676530092,0.050458670810747716,0.030500546536598103,,unknown
- Unwanted sexual touching by a partner,0.3462241793539872,5.76420488814335,3.0889434815937253,,0.008110456807909,0.40265113743460623,0.20783550166755832,,unknown
Any sexual assault (including attempts) by a family member,0.2047987775852693,2.0670894468152605,1.150503399278847,,0,0.09349069924113457,0.0474681827634276,,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0.06799623162484393,0.9269999025912563,0.5043763823760427,,0,0.049002529212695906,0.024895367076292054,,unknown
Indecent exposure or unwanted sexual touching by a family member,0.15442066326028708,1.6830471925216546,0.931879019870132,,0,0.07939018465415568,0.04038581367156201,,unknown
- Indecent exposure by a family member,0.07616545669551643,0.6500394721089607,0.3671198663364331,,0,0.007605194624697615,0.003856137048826441,,unknown
- Unwanted sexual touching by a family member,0.12568039790331198,1.4387324327581588,0.7903963046872295,,0,0.0800384076751232,0.04051844016960119,,unknown
Stalking,9.549923187272556,21.204215038413594,15.487875541284925,,2.4646579162759306,4.473566024354888,3.4881185215706623,,unknown
Stalking by a partner,2.9692255419232443,9.766838201800521,6.427289979054278,,0.5301505826964433,1.3109732698574317,0.9273499727719322,,unknown
Stalking by a family member,1.2414548732509523,3.05851167332802,2.1678623094531937,,0.14370168541351666,0.457604369557277,0.3037211068923304,,unknown
"Unweighted base - number of adults5,6",6021,7242,13263,,6005,7183,13188,,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,unknown
"1. Chapter 5 of the User Guide provides definitions of domestic abuse, sexual assault and stalking.",,,,,,,,,unknown
"2. From April 2017, the upper age limit for the self-completion module was increased to ask all respondents aged 16 to 74.",,,,,,,,,unknown
3. New offence category 'Causing sexual activity without consent' was added to the total category of any sexual assault (including attempts) for the year ending March 2016 to the year ending March 2019. This category is not directly comparable with 22A 'Causing sexual activity without consent' offence category in Home Office Counting Rules (HOCR) as offence 22A has a wider definition than is covered in the CSEW.,,,,,,,,,unknown
4. The category 'Causing sexual activity without consent' cannot be disaggregated by perpetrator as this was not asked of the respondent.,,,,,,,,,unknown
5.  The bases given are for any domestic abuse; the bases for the other measures presented will be similar.,,,,,,,,,unknown
6. The sample size is lower for the year ending March 2019 due to use of a split-sample experiment. ,,,,,,,,,unknown
