Offence group,"Apr 2009 to Mar 2010 
[note 6]","Apr 2010 to Mar 2011 
[note 6]",Apr 2011 to Mar 2012,"Apr 2012 to Mar 2013 
[note 7]",Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2023 to Mar 2025,,Offence group,Apr 2009 to Mar 2010,Apr 2009 to Mar 2010 Significance,Apr 2010 to Mar 2011,Apr 2010 to Mar 2011 Significance,Apr 2011 to Mar 2012,Apr 2011 to Mar 2012 Significance,Apr 2012 to Mar 2013,Apr 2012 to Mar 2013 Significance,Apr 2013 to Mar 2014,Apr 2013 to Mar 2014 Significance,Apr 2014 to Mar 2015,Apr 2014 to Mar 2015 Significance,Apr 2015 to Mar 2016,Apr 2015 to Mar 2016 Significance,Apr 2016 to Mar 2017,Apr 2016 to Mar 2017 Significance,Apr 2017 to Mar 2018,Apr 2017 to Mar 2018 Significance,Apr 2018 to Mar 2019,Apr 2018 to Mar 2019 Significance,Apr 2019 to Mar 2020,Apr 2019 to Mar 2020 Significance,Apr 2022 to Mar 2023,Apr 2022 to Mar 2023 Significance,Apr 2023 to Mar 2024,Apr 2023 to Mar 2024 Significance,unknown
CRIMINAL DAMAGE TO PERSONAL PROPERTY [note 8],0.7437613411375538,0.4102105717944175,0.7788199463647345,0.7798847803852215,0.8618422748136528,1.2895221923466402,1.7845940932894244,0.7850468875484767,1.1509714493078387,1.3004459294442203,0.9858024033540749,0.5833036331714125,0.8045895101530407,1.0048697692015658,,CRIMINAL DAMAGE TO PERSONAL PROPERTY [note 8],0.261108428064012,,0.5946591974071482,,0.22604982283683128,,0.22498498881634432,,0.14302749438791296,,-0.28465242314507444,,-0.7797243240878586,,0.21982288165308905,,-0.1461016801062729,,-0.29557616024265454,,0.019067365847490914,,0.42156613603015325,,0.2002802590485251,,unknown
ALL CSEW CRIMES EXPERIENCED BY CHILDREN AGED 10 TO 15,14.62694463805232,11.604320406960273,15.120418582725339,12.176973983454658,12.129824657661707,11.81503714336716,12.807736735580683,11.041319443216697,10.06426905707907,10.516867104086726,6.557695529880005,9.810338136955428,10.233236299244634,11.862830138192948,,ALL CSEW CRIMES EXPERIENCED BY CHILDREN AGED 10 TO 15,-2.7641144998593727,[s],0.2585097312326745,,-3.2575884445323915,[s],-0.3141438452617109,,-0.26699451946875996,,0.04779299482578736,,-0.9449065973877353,,0.8215106949762507,,1.7985610811138777,,1.3459630341062212,,5.305134608312943,[s],2.0524920012375194,,1.6295938389483133,,unknown
Unweighted base - number of children aged 10 to 15,3762,3849,3930,2879,2933,2374,2804,3062,3008,2850,2398,1309,1528,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"Table A15c:  Trends in CSEW prevalence rates for children aged 10 to 15 - broad measure, from year ending March 2010 to year ending March 2025, with percentage point change and statistical significance of change",,,,,,,,,,,,,,,,"Table A15d:  Trends in CSEW prevalence rates for children aged 10 to 15 - broad measure, from year ending March 2010 to year ending March 2025, with percentage point change and statistical significance of change",,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Offence group,Apr 2009 to Mar 2010 [Note 6],Apr 2010 to Mar 2011 [Note 6],Apr 2011 to Mar 2012,Apr 2012 to Mar 2013 [Note 7],Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2024 to Mar 2025,,Offence group,Apr 2009 to Mar 2010,Apr 2009 to Mar 2010 Significance,Apr 2010 to Mar 2011,Apr 2010 to Mar 2011 Significance,Apr 2011 to Mar 2012,Apr 2011 to Mar 2012 Significance,Apr 2012 to Mar 2013,Apr 2012 to Mar 2013 Significance,Apr 2013 to Mar 2014,Apr 2013 to Mar 2014 Significance,Apr 2014 to Mar 2015,Apr 2014 to Mar 2015 Significance,Apr 2015 to Mar 2016,Apr 2015 to Mar 2016 Significance,Apr 2016 to Mar 2017,Apr 2016 to Mar 2017 Significance,Apr 2017 to Mar 2018,Apr 2017 to Mar 2018 Significance,Apr 2018 to Mar 2019,Apr 2018 to Mar 2019 Significance,Apr 2019 to Mar 2020,Apr 2019 to Mar 2020 Significance,Apr 2022 to Mar 2023,Apr 2022 to Mar 2023 Significance,Apr 2023 to Mar 2024,Apr 2023 to Mar 2024 Significance,unknown
VIOLENCE [note 9],17.02448234120559,11.487790364972263,11.8185086051619,10.790627640148934,9.84602852844604,10.075372769900488,10.810645503236223,10.140899158217014,9.334896553365489,10.380096142077875,6.842959225221601,8.277380237829265,7.622072487835723,8.399145306339388,,VIOLENCE [note 9],-8.625337034866202,[s],-3.088645058632874,[s],-3.419363298822512,[s],-2.3914823338095452,[s],[s],,-1.6762274635610996,,-2.411500196896835,[s],-1.7417538518776254,,-0.9357512470261007,,-1.9809508357384864,,1.5561860811177874,,0.1217650685101237,,0.7770728185036653,,unknown
Violence with injury,6.611802011247473,5.484490578965613,5.335414466610615,4.610736582485258,5.242123038656285,4.686849883533664,5.286285886201014,4.956952732534934,4.594615898769329,4.705070950690328,3.239947406539032,4.278005255205645,3.8933416142445694,4.763760059303063,,Violence with injury,-1.8480419519444098,[s],-0.72073051966255,,-0.5716544073075518,,0.15302347681780493,,-0.47836297935322136,,0.07691017576939974,,-0.5225258268979509,,-0.19319267323187095,,0.16914416053373404,,0.05868910861273502,,1.5238126527640312,,0.485754804097418,,0.870418445058494,,unknown
Wounding,1.90380198979576,1.098857393604255,0.9550000753414896,1.0391134738015277,1.0903634849209396,0.8427871859534292,1.4315748112645994,1.1004402869526304,1.0459352333196161,1.2449557015752715,0.7478481896192309,1.0177661422317081,0.633838434371751,1.4538662291979207,,Wounding,-0.44993576059783935,,0.3550088355936658,,0.4988661538564312,,0.414752755396393,,0.36350274427698115,,0.6110790432444916,,0.022291417933321345,,0.35342594224529034,,0.4079309958783046,,0.20891052762264928,,0.7060180395786898,,0.4361000869662126,,0.8200277948261697,[s],unknown
Assault with minor injury,5.034909342396492,4.447854278791325,4.432543727081315,3.656412300661836,4.246573466837899,3.9581280945502133,4.027200126550885,3.9506281407315593,3.7182927081822177,3.543189060913569,2.5801367827141077,3.317793020898628,3.3077534274517357,3.5442836352187417,,Assault with minor injury,-1.4906257071777507,[s],-0.903570643572583,,-0.8882600918625734,,-0.11212866544309419,,-0.702289831619157,,-0.4138444593314716,,-0.4829164913321433,,-0.40634450551281764,,-0.174009072963476,,0.0010945743051724577,,0.9641468525046339,,0.22649061432011353,,0.23653020776700595,,unknown
Violence without injury [note 9],11.38905240387294,6.9592379047002035,7.1824522312849535,6.452868061529058,5.052562279166623,6.019577296424642,5.9197934301885535,5.526396099340958,5.040827895879556,5.875297596645334,3.808105329143026,4.719070768607945,4.006248602348689,3.653393607544303,,Violence without injury [note 9],-7.735658796328637,[s],-3.3058442971559003,[s],-3.5290586237406503,[s],-2.7994744539847547,[s],-1.39916867162232,,-2.366183688880339,[s],-2.2663998226442503,[s],-1.8730024917966546,[s],-1.3874342883352524,,-2.2219039891010306,[s],-0.15471172159872282,,-1.0656771610636415,,-0.3528549948043862,,unknown
