"table s34: prevalence of domestic abuse, sexual assault and stalking among adults aged 16 to 59 and 16 to 741,2, by type, year ending march 2018 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,age_band
England and Wales,,,,,,,,,,,,,,,,Adults aged 16 to 59/Adults aged 16 to 74,unknown
,Since the age of 16,,,,,,,,In the last year,,,,,,,,unknown
,Adults aged 16 to 59,,,,Adults aged 16 to 74,,,,Adults aged 16 to 59,,,,Adults aged 16 to 74,,,,unknown
,Men,Women,All,,Men,Women,All,,Men,Women,All,,Men,Women,All,,unknown
,Percentage who were victims once or more,,,,,,,,,,,,,,,,unknown
- Assault by penetration including attempts,0.3327487153739079,5.324669875308746,2.813526873110768,,0.27508203575255413,4.764826923073669,2.514275454046269,,0.04132448355371652,0.5208010112096527,0.2795888410955857,,0.03323815632824401,0.4428766999183623,0.23752868196958968,,unknown
- Assault by penetration excluding attempts,0.24510045012262677,4.063465613051525,2.142247763059664,,0.20456047092512533,3.619551066353207,1.9069978104486565,,0.025809738305738385,0.39933903562504586,0.21139656455585107,,0.02075558485271628,0.3189991584314988,0.1694354294869057,,unknown
Indecent exposure or unwanted sexual touching,4.3603696954338504,23.267632725465855,13.778176418486753,,4.072519770519969,22.866519958192896,13.46884487991194,,1.161578080328206,3.8324702509193393,2.491895782747153,,0.9687651136420857,3.1601009610132036,2.0643110357388426,,unknown
Any sexual assault (including attempts) by a partner,0.6990882563096922,6.290371991083332,3.4722887392770327,,0.5920352509263759,5.879369229230019,3.2244704328685905,,0.0777006421288399,0.3619364274196093,0.21863125291203026,,0.06252603233199322,0.2890645560904515,0.17527591354613184,,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.09364138331383302,4.0699373422563365,2.0662064485048734,,0.07539127548159988,3.7082116345503633,1.8845788554069953,,0.012507339234943286,0.2240816531484145,0.11746134949094934,,0.01006973866077164,0.17901882623242046,0.09420583590713191,,unknown
Indecent exposure or unwanted sexual touching by a partner,0.6456272849494437,5.511915801316871,3.061159075625085,,0.5486450051261836,5.120703397571796,2.8276173086591743,,0.06492543269417198,0.2591869910627424,0.1613515725336715,,0.05222592359794878,0.2067638761825781,0.12925546566158586,,unknown
Any sexual assault (including attempts) by a family member,0.1688253100350422,1.892537376711311,1.0271401691841062,,0.14366082903527957,1.8971872709192557,1.0196036212621806,,0.0498536693275291,0.13415068956326964,0.09181176436539482,,0.04007002575316223,0.11351959157746765,0.07674843571819095,,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0.042079778468599865,0.6924306883045896,0.36597092048386015,,0.03383888821224803,0.6762272361523086,0.3548493658906435,,0.012624044116630553,0.08724160380670622,0.04978554162686798,,0.010151755384546894,0.06968395393355203,0.03990087707899599,,unknown
Indecent exposure or unwanted sexual touching by a family member,0.042079778468599865,1.5811589656114204,0.866202561431674,,0.13294959634102863,1.5779455695307834,0.855812244227495,,0.03704989542260609,0.06056331812563083,0.04876960403330716,,0.029774726016456112,0.054673886938789336,0.042229397494611305,,unknown
Stalking,9.231945712304402,21.324626736813517,15.25928561495881,,8.62220394932022,19.9785012192121,14.298941035605278,,2.577045849113114,5.443096792905003,4.005017015719722,,2.3490766393427527,4.603620998499824,3.4757221406983336,,unknown
Stalking by a partner,3.043558698046603,9.82451670096443,6.4142982154165935,,2.6606544171720237,8.404277662060897,5.524776966491843,,0.47921160587550976,1.397029167907923,0.9354522805438633,,0.43113530234127595,1.1306206822977312,0.7799438211622347,,unknown
Stalking by a family member,1.203498371744226,2.8624082577185828,2.0309307242086274,,1.129241665846075,2.623307541976552,1.8766045810228973,,0.35135467737467935,0.6273469547223087,0.4890276122200519,,0.2881335832891766,0.5362661560734305,0.4122642271736111,,unknown
"Unweighted base - number of adults3,4",4661,5446,10107,,6402,7222,13624,,4647,5399,10046,,6387,7164,13551,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,,,,,,,unknown
"1. Chapter 5 of the User Guide provides definitions of domestic abuse, sexual assault and stalking.",,,,,,,,,,,,,,,,,unknown
"2. From April 2017, the upper age limit for the self-completion module has been increased to ask all respondents aged 16 to 74. Figures for both 16 to 59 year olds and 16 to 74 year olds are presented.",,,,,,,,,,,,,,,,,unknown
3.  The bases given are for any domestic abuse; the bases for the other measures presented will be similar.,,,,,,,,,,,,,,,,,unknown
4. The sample size is lower for year ending March 2018 due to use of a split-sample experiment. ,,,,,,,,,,,,,,,,,unknown
