"table s5: perceptions of the local police, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8
England and Wales,,,,,,,,Adults aged 16 and over
Personal characteristic1,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,
   Chinese,66.4966978503223,87.20320735124942,72.9589343218847,63.296166410356506,59.98191588313983,84.09040714364934,80.73957971675863,195
   Any other Asian background,76.4013421611043,89.5573329801136,76.44902304542211,72.60677577289586,66.0037214984704,90.45856963779285,84.38794271606018,375
Black/African/Caribbean/Black British,63.19177147088406,77.70044250262005,56.322950639981386,59.57826559366598,51.40969535641163,66.85388087378387,64.4586223053101,950
   African,65.64562333376949,79.20663901228507,61.83447224216364,61.44970872367856,54.81615269641833,71.40448620574838,69.05411992424816,587
   Caribbean,58.94824370101208,74.89900436215142,44.3074242623212,54.74141644609599,43.45562542799995,57.153629985252216,54.46426584165025,295
   Any other Black/African/Caribbean background,56.986544591647046,74.95880656095646,52.53153597353681,61.69036060069961,52.02580007011244,62.20300959029649,61.8847818179672,68
Other ethnic group,69.12306354050916,86.20308485816999,69.50623901742615,68.19906539184012,63.00667080742017,82.76274929132484,74.86446819602753,273
   Arab,70.92682079637518,88.64500735987923,71.52173369778919,65.25750907122202,67.63311987705482,71.49961779210813,67.77338419407603,109
   Any other ethnic group,67.74643448312038,84.3816168204907,67.99585261725949,70.34437949674735,59.4635646012581,91.25251551138777,80.16039398870845,164
Marital status,,,,,,,,
Married/civil partnered,55.518260836712166,88.45185312531808,68.58967094252537,67.32229768099926,52.66591441287204,81.83994249587549,74.98161351284455,15157
Cohabiting,57.3867347838443,85.57316164505333,65.00350429469555,63.68088936251991,50.880141722773374,77.76292060769978,72.28627081366598,3464
Single,65.6284262179522,84.75473977540663,63.80918062864937,64.19928756134338,53.2300893109454,77.99154954196672,72.60611095043232,7498
Separated,58.89827773129278,87.56667285385215,68.76982229126753,66.84686524453446,54.252440536891655,81.04337197569406,75.01308939634383,947
Divorced/legally dissolved partnership,51.60983050028185,85.34834607557086,61.69806926944553,64.21269076734097,50.63197971888983,76.80504466717792,70.34725186619671,2933
Widowed,60.72383731925362,92.25037835926577,71.51621926900401,70.79320072754443,61.508322589231234,85.32088548294402,81.54498724529138,3274
Respondent's employment status,,,,,,,,
In employment,59.018221642292445,87.2983134546023,67.48225835086895,66.19494849507986,51.94662266080822,80.44095082000973,74.08927544483743,19216
Unemployed,64.86403637959131,83.38155622236411,65.5013702912559,64.66630037709528,58.0576425193447,79.11079709609436,74.96948987796445,530
Economically inactive,56.94983963141208,87.25317541384379,65.39216996715133,65.94904255769156,54.54893940690575,80.03676953730871,74.23467897158007,13585
Student,72.51876699980957,83.65284623988657,61.17714610665136,62.97153760910968,54.73131948888641,80.58233794443349,75.96531331805167,654
Looking after family/home,66.32691698243016,85.43551005956877,68.88093803014318,67.98080137032137,59.58642738724289,78.83644891068062,74.80405906453325,1403
Long-term/temporarily sick/ill,52.53834173710853,79.62007517169876,58.59599820799605,60.064357707698534,47.72461522063386,68.03608067672225,62.562200483844066,1451
Retired,52.79650133496816,89.96900696830922,67.05832489201912,67.57636451220512,55.13426152307893,82.79264532504983,76.40403064735169,9707
Other inactive,57.98452227967261,78.91853738568496,57.765513253985404,57.062580171497856,45.60052959810657,67.65662570061991,61.248525526083654,370
Respondent's occupation,,,,,,,,
Managerial and professional occupations,56.69966035577608,88.45876727707291,65.13038313104221,65.09732002353502,49.80723665190438,81.50767663638679,75.45328135139155,12306
Intermediate occupations,55.753742595451115,87.64646417876412,67.29142950274868,66.80070147602864,52.958384694286295,80.34395578936093,73.42497529031955,7610
Routine and manual occupations,58.552355157457555,86.34518663805517,68.5416727265959,66.83043523223242,55.44802708238211,79.00758245860514,72.91488807798042,11024
Never worked and long-term unemployed,68.21636851845803,84.01282687417422,70.3756445508124,68.59948683639064,62.28340084403481,78.71012928232179,74.87242611757276,1075
