"table s32:  worry about crime by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,age_band
England and Wales,,,,,,,,,Adults aged 16 and over,,,,unknown
,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,,,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,unknown
,Percentage with high levels of worry,,,,,,,Percentage with high levels of worry,,,,,unknown
Single,7.920401735515595,6.680682762942575,14.980051127055733,9.703181198533862,1927,,,10.152269829776467,6.834227796029999,20.088555830451813,9.619807855410206,8186,unknown
Separated,12.691616548330837,7.143076947432054,18.596126807463982,12.277251708934786,242,,1-3 times a month,6.950505094933787,3.960107438214229,12.502503721981698,8.962354913145907,379,unknown
Divorced/legally dissolved partnership,12.284752694318074,6.811145771241053,23.646579270404374,10.65666431783601,738,,4+ times a month,0.798094636526967,4.449995435097497,3.058004454346402,0.6987822270930146,57,unknown
Widowed,10.732402535761652,6.90614635532141,25.09177838146439,11.60031431101871,866,,,,,,,,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,,,,,,,unknown
2. The question on worry about fraud was first introduced into the survey in April 2018.,,,,,,,,,,,,,unknown
"3. Unweighted base refers to worry about burglary. Bases for fraud and violent crime will be similar but for car crime will be slightly lower as these are based only on those residing in households owning, or with use of a vehicle.",,,,,,,,,,,,,unknown
"4. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,,,,,,,unknown
"5. The terminology used to label these data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,,,,,unknown
